2023-10-24 18:17:56.844 [main] INFO  org.example.Main - Start of Execution
2023-10-24 18:18:05.010 [main] INFO  org.example.Main - START OP: Add
2023-10-24 18:18:05.010 [main] INFO  org.example.Main - END OP: Add
2023-10-24 18:20:28.564 [main] INFO  org.example.Main - START OP: Add
2023-10-24 18:20:28.566 [main] INFO  org.example.Main - END OP: Add
2023-10-24 18:20:28.567 [main] INFO  org.example.Main - START OP: Div
2023-10-24 18:20:28.567 [main] INFO  org.example.Main - END OP: Div
2023-10-24 18:20:28.567 [main] INFO  org.example.Main - START OP: Div
2023-10-24 18:20:28.567 [main] INFO  org.example.Main - END OP: Div
2023-10-24 18:20:28.568 [main] INFO  org.example.Main - START OP: Sub
2023-10-24 18:20:28.568 [main] INFO  org.example.Main - END OP: Sub
2023-10-24 18:20:28.568 [main] INFO  org.example.Main - START OP: Sub
2023-10-24 18:20:28.568 [main] INFO  org.example.Main - END OP: Sub
2023-10-24 18:20:28.568 [main] INFO  org.example.Main - START OP: Mul
2023-10-24 18:20:28.568 [main] INFO  org.example.Main - END OP: Mul
2023-10-24 18:20:28.569 [main] INFO  org.example.Main - START OP: Mul
2023-10-24 18:20:28.569 [main] INFO  org.example.Main - END OP: Mul
2023-10-24 18:20:28.569 [main] INFO  org.example.Main - START OP: Add
2023-10-24 18:20:28.569 [main] INFO  org.example.Main - END OP: Add
